district,page,price_clean,bedrooms_clean,bathrooms_clean,garage_clean,land_area_clean,building_area_clean
Pangkalan Jati,134,5000000000.0,4.0,3.0,1.0,265.0,320.0
Citayam,135,185000000.0,2.0,1.0,1.0,42.0,33.0
Citayam,135,185000000.0,2.0,1.0,1.0,42.0,33.0
Citayam,135,185000000.0,2.0,1.0,1.0,42.0,33.0
Krukut,135,1400000000.0,2.0,2.0,1.0,116.0,100.0
Cinere,135,3500000000.0,4.0,4.0,,250.0,200.0
Citayam,135,185000000.0,2.0,1.0,1.0,42.0,33.0
Cimanggis,135,5200000000.0,4.0,3.0,2.0,162.0,202.0
Cinere,135,2600000000.0,3.0,3.0,,120.0,115.0
Sawangan,135,697000000.0,3.0,1.0,1.0,60.0,73.0
Tanah Baru,135,900000000.0,3.0,2.0,1.0,75.0,90.0
Sukmajaya,135,1600000000.0,3.0,3.0,2.0,105.0,100.0
Pangkalan Jati,135,3200000000.0,3.0,2.0,,178.0,156.0
Cinere,135,2850000000.0,3.0,2.0,2.0,169.0,200.0
Cinere,135,4099999999.9999995,3.0,3.0,2.0,105.0,152.0
Margonda,136,1700000000.0,5.0,5.0,1.0,90.0,140.0
Citayam,136,175000000.0,2.0,1.0,,35.0,32.0
Sukmajaya,136,1850000000.0,5.0,2.0,,120.0,250.0
Margonda,136,1700000000.0,5.0,5.0,1.0,90.0,140.0
Cinere,136,5200000000.0,4.0,3.0,2.0,386.0,356.0
Sukmajaya,136,1220000000.0,3.0,2.0,2.0,72.0,79.0
Pancoran Mas,136,1600000000.0,3.0,2.0,,72.0,82.0
Beji,136,1300000000.0,3.0,2.0,,63.0,75.0
Pancoran Mas,136,1800000000.0,3.0,2.0,,84.0,95.0
Beji,136,2000000000.0,3.0,3.0,1.0,257.0,180.0
Pancoran Mas,136,2800000000.0,4.0,3.0,,144.0,140.0
Sukmajaya,136,1950000000.0,4.0,3.0,1.0,148.0,135.0
Sawangan,136,675000000.0,2.0,1.0,,90.0,60.0
Tapos,136,1700000000.0,5.0,2.0,1.0,144.0,220.0
Cimanggis,136,1700000000.0,3.0,2.0,1.0,208.0,200.0
Grand Depok City,136,650000000.0,3.0,1.0,,86.0,86.0
Cinere,137,2350000000.0,4.0,3.0,2.0,150.0,225.0
Cinere,137,4500000000.0,4.0,4.0,2.0,250.0,400.0
Cinere,137,5000000000.0,5.0,4.0,2.0,483.0,615.0
Cinere,137,5300000000.0,4.0,3.0,,450.0,300.0
Cinere,137,4800000000.0,4.0,3.0,1.0,380.0,300.0
Cinere,137,5500000000.0,5.0,3.0,2.0,375.0,500.0
Cinere,137,5750000000.0,4.0,4.0,,300.0,400.0
Cinere,137,3000000000.0,4.0,3.0,2.0,163.0,280.0
Cimanggis,137,4700000000.0,4.0,2.0,2.0,523.0,400.0
Cinere,137,2200000000.0,4.0,2.0,,150.0,200.0
Cinere,137,5000000000.0,4.0,5.0,,375.0,400.0
Cinere,137,4200000000.0,4.0,3.0,1.0,280.0,240.0
Cinere,137,2750000000.0,4.0,3.0,1.0,135.0,200.0
Cinere,137,1850000000.0,4.0,3.0,,154.0,250.0
Cinere,137,2200000000.0,3.0,2.0,,120.0,220.0
Cinere,138,2500000000.0,3.0,3.0,,158.0,250.0
Cinere,138,1770000000.0,4.0,2.0,1.0,148.0,152.0
Depok I,138,1300000000.0,2.0,2.0,1.0,131.0,90.0
Limo,138,655000000.0,3.0,2.0,,49.0,70.0
Cibubur,138,1600000000.0,3.0,2.0,1.0,98.0,110.0
Limo,138,3650000000.0,4.0,3.0,5.0,719.0,250.0
Limo,138,1000000000.0,4.0,3.0,2.0,77.0,120.0
Cipayung,138,1970000000.0,3.0,3.0,1.0,95.0,120.0
Pancoran Mas,138,600000000.0,2.0,1.0,,84.0,45.0
Cimanggis,138,875000000.0,2.0,2.0,1.0,73.0,53.0
Pancoran Mas,138,2500000000.0,6.0,4.0,,143.0,200.0
Cimanggis,138,870000000.0,2.0,1.0,,90.0,45.0
Beji,138,2470000000.0,3.0,3.0,,120.0,160.0
Cimanggis,138,869000000.0,2.0,1.0,2.0,90.0,45.0
Depok I,138,899000000.0,2.0,2.0,1.0,86.0,70.0
Tanah Baru,138,1250000000.0,3.0,3.0,,64.0,120.0
Limo,139,1140000000.0,3.0,2.0,2.0,60.0,75.0
Tanah Baru,139,1300000000.0,4.0,3.0,2.0,73.0,100.0
Cilodong,139,390000000.0,2.0,1.0,1.0,50.0,32.0
Sawangan,139,525000000.0,2.0,1.0,1.0,72.0,45.0
Limo,139,653000000.0,2.0,2.0,2.0,78.0,54.0
Pangkalan Jati,139,4500000000.0,5.0,4.0,4.0,477.0,250.0
Cilodong,139,1400000000.0,3.0,3.0,2.0,104.0,105.0
Limo,139,850000000.0,3.0,2.0,2.0,72.0,52.0
Cimanggis,139,650000000.0,2.0,1.0,1.0,62.0,36.0
Cilodong,139,675000000.0,2.0,2.0,1.0,84.0,50.0
Margonda,139,2800000000.0,4.0,2.0,,100.0,300.0
Rangkapanjaya,139,762000000.0,3.0,2.0,1.0,52.0,60.0
Kelapa Dua,139,617000000.0,3.0,2.0,1.0,42.0,45.0
Sawangan,139,550000000.0,2.0,2.0,1.0,72.0,60.0
Cilodong,139,469000000.0,3.0,2.0,2.0,48.0,72.0
Grand Depok City,139,2200000000.0,5.0,4.0,,172.0,172.0
Cibubur,140,2029999999.9999998,3.0,3.0,2.0,111.0,88.0
Cisalak,140,927000000.0,3.0,2.0,1.0,50.0,80.0
Depok II,140,599000000.0,3.0,2.0,1.0,51.0,60.0
Sawangan,140,1060000000.0,2.0,2.0,2.0,54.0,85.0
Kukusan,140,630000000.0,2.0,1.0,1.0,56.0,40.0
Cimanggis,140,2029999999.9999998,3.0,2.0,2.0,111.0,88.0
Sawangan,140,775000000.0,2.0,2.0,2.0,77.0,60.0
Cimanggis,140,509000000.0,2.0,2.0,1.0,50.0,45.0
Limo,140,799000000.0,2.0,2.0,2.0,72.0,45.0
Limo,140,600000000.0,2.0,2.0,2.0,46.0,50.0
Limo,140,3500000000.0,8.0,4.0,1.0,800.0,301.0
Sawangan,140,693000000.0,3.0,1.0,1.0,100.0,50.0
Cilodong,140,650000000.0,2.0,1.0,1.0,85.0,60.0
Rangkapanjaya,140,762000000.0,3.0,2.0,1.0,52.0,60.0
Depok I,140,900000000.0,2.0,1.0,1.0,84.0,45.0
Sawangan,140,1000000000.0,2.0,1.0,1.0,83.0,83.0
Depok I,140,1500000000.0,3.0,2.0,2.0,72.0,80.0
Depok I,140,1700000000.0,5.0,3.0,1.0,210.0,150.0
Cinere,140,3500000000.0,6.0,4.0,1.0,270.0,300.0
Cinere,141,4300000000.0,3.0,3.0,2.0,198.0,225.0
Cibubur,141,5300000000.0,4.0,4.0,2.0,297.0,450.0
Cibubur,141,2800000000.0,3.0,2.0,1.0,200.0,150.0
Sawangan,141,923000000.0,3.0,2.0,2.0,83.0,83.0
Sawangan,141,1500000000.0,2.0,,,52.0,86.0
Tugu,141,3200000000.0,19.0,19.0,2.0,315.0,350.0
Sawangan,141,1200000000.0,3.0,2.0,,65.0,78.0
Cimanggis,141,3800000000.0,5.0,3.0,,280.0,260.0
Tanah Baru,141,1200000000.0,2.0,2.0,2.0,100.0,70.0
Mekarsari,141,2300000000.0,5.0,4.0,2.0,160.0,270.0
Pancoran Mas,142,385000000.0,3.0,2.0,1.0,50.0,60.0
Rangkapanjaya,142,385000000.0,3.0,2.0,1.0,50.0,60.0
Rangkapanjaya,142,385000000.0,3.0,2.0,1.0,50.0,60.0
Beji,142,1350000000.0,4.0,4.0,2.0,58.0,140.0
Cinere,142,4500000000.0,3.0,3.0,3.0,665.0,300.0
Cinere,142,2700000000.0,3.0,3.0,10.0,228.0,204.0
Pancoran Mas,142,385000000.0,3.0,2.0,1.0,50.0,60.0
Rangkapanjaya,142,385000000.0,3.0,2.0,1.0,50.0,60.0
Pancoran Mas,142,385000000.0,3.0,2.0,1.0,50.0,60.0
Rangkapanjaya,142,385000000.0,3.0,2.0,1.0,50.0,60.0
Cinere,143,1750000000.0,3.0,2.0,1.0,78.0,106.0
Cinere,143,1900000000.0,5.0,2.0,1.0,109.0,218.0
Cinere,143,1400000000.0,3.0,3.0,1.0,67.0,90.0
Pancoran Mas,143,385000000.0,3.0,2.0,1.0,50.0,60.0
Sawangan,143,1150000000.0,3.0,2.0,1.0,112.0,110.0
Cinere,143,1600000000.0,5.0,2.0,1.0,102.0,180.0
Cinere,143,1800000000.0,3.0,2.0,2.0,180.0,100.0
Rangkapanjaya,143,385000000.0,3.0,2.0,1.0,50.0,60.0
Sawangan,143,1150000000.0,3.0,2.0,1.0,112.0,110.0
Rangkapanjaya,143,385000000.0,3.0,2.0,1.0,50.0,60.0
Sawangan,143,365000000.0,3.0,2.0,1.0,76.0,40.0
Cimanggis,143,900000000.0,3.0,2.0,2.0,80.0,70.0
Sawangan,143,360000000.0,2.0,1.0,1.0,70.0,40.0
Sawangan,143,365000000.0,2.0,1.0,1.0,70.0,40.0
Cimanggis,143,1000000000.0,3.0,2.0,2.0,121.0,81.0
Pangkalan Jati,143,4950000000.0,5.0,2.0,,480.0,161.0
Sawangan,144,780000000.0,3.0,2.0,,150.0,80.0
Sawangan,144,277000000.0,2.0,1.0,1.0,50.0,36.0
Beji,144,1660000000.0,2.0,1.0,,99.0,69.0
Depok II,144,4300000000.0,,,,198.0,185.0
Beji,144,950000000.0,3.0,3.0,1.0,61.0,75.0
Pancoran Mas,144,800000000.0,1.0,2.0,,70.0,70.0
Kukusan,144,690000000.0,2.0,2.0,1.0,55.0,60.0
Sawangan,144,630000000.0,2.0,1.0,1.0,79.0,44.0
Limo,144,5900000000.0,3.0,,,300.0,200.0
Citayam,144,2900000000.0,4.0,4.0,1.0,500.0,400.0
Bojong Sari,144,1010000000.0,3.0,2.0,1.0,60.0,65.0
Cinere,144,5200000000.0,3.0,3.0,2.0,480.0,225.0
Cimanggis,144,990000000.0,2.0,1.0,1.0,96.0,60.0
Sawangan,144,925000000.0,3.0,2.0,2.0,84.0,84.0
Cimanggis,144,2500000000.0,6.0,3.0,2.0,210.0,200.0
Cinere,145,3400000000.0,7.0,5.0,1.0,322.0,351.0
Depok I,145,1200000000.0,2.0,,,45.0,50.0
Cipayung,145,850000000.0,3.0,1.0,,72.0,45.0
Limo,145,825000000.0,3.0,1.0,,72.0,84.0
Cipayung,145,500000000.0,2.0,1.0,,59.0,45.0
Grand Depok City,145,1100000000.0,3.0,2.0,,90.0,120.0
Pancoran Mas,145,1100000000.0,2.0,,,93.0,90.0
Pasir Putih,145,375000000.0,3.0,1.0,1.0,75.0,50.0
Sawangan,145,1200000000.0,2.0,1.0,1.0,150.0,70.0
Rangkapanjaya,145,55000000.0,2.0,,,87.0,90.0
Sawangan,145,675000000.0,2.0,1.0,1.0,74.0,52.0
Cinere,145,1550000000.0,2.0,2.0,1.0,108.0,852.0
Tanah Baru,145,4300000000.0,4.0,3.0,1.0,443.0,120.0
Citayam,145,555000000.0,3.0,1.0,1.0,60.0,60.0
Sawangan,145,815000000.0,3.0,2.0,1.0,48.0,86.0
Cimanggis,145,775000000.0,3.0,2.0,,78.0,54.0
Cibubur,145,1800000000.0,3.0,3.0,2.0,98.0,95.0
Sawangan,146,70000000.0,2.0,1.0,1.0,67.0,45.0
Sawangan,146,730000000.0,3.0,2.0,1.0,63.0,72.0
Sawangan,146,380000000.0,2.0,2.0,1.0,60.0,36.0
Cimanggis,146,2700000000.0,3.0,2.0,1.0,124.0,160.0
Depok I,146,699000000.0,1.0,1.0,1.0,81.0,24.0
Rangkapanjaya,146,950000000.0,3.0,2.0,2.0,89.0,90.0
Rangkapanjaya,146,770000000.0,3.0,2.0,,87.0,90.0
Cinere,146,2500000000.0,4.0,4.0,1.0,162.0,140.0
Pancoran Mas,146,1680000000.0,4.0,3.0,2.0,100.0,175.0
Cinere,146,320000000.0,3.0,1.0,1.0,75.0,50.0
Cipayung,146,580000000.0,2.0,1.0,1.0,65.0,45.0
Beji,146,1500000000.0,3.0,3.0,2.0,75.0,74.0
Sawangan,146,999000000.0,3.0,2.0,2.0,84.0,84.0
Pasir Putih,146,385000000.0,3.0,1.0,1.0,75.0,50.0
Sawangan,146,750000000.0,2.0,1.0,1.0,106.0,45.0
Cimanggis,146,4200000000.0,3.0,,,75.0,225.0
Cinere,147,1650000000.0,3.0,2.0,1.0,114.0,185.0
Beji,147,900000000.0,3.0,2.0,1.0,59.0,72.0
Cibubur,147,3300000000.0,7.0,5.0,2.0,287.0,400.0
Tanah Baru,147,900000000.0,3.0,2.0,1.0,64.0,70.0
Tanah Baru,147,1350000000.0,4.0,4.0,2.0,58.0,130.0
Limo,147,655000000.0,3.0,2.0,1.0,46.0,50.0
Harjamukti,147,1550000000.0,3.0,2.0,2.0,77.0,100.0
Tapos,147,1650000000.0,3.0,2.0,1.0,98.0,120.0
Cinere,147,1700000000.0,2.0,1.0,1.0,110.0,80.0
Bojong Sari,147,970000000.0,4.0,3.0,1.0,92.0,120.0
Cinere,147,1850000000.0,4.0,2.0,2.0,78.0,85.0
Cinere,147,1750000000.0,3.0,2.0,1.0,126.0,116.0
Sawangan,147,730000000.0,3.0,2.0,1.0,63.0,72.0
Cipayung,147,700000000.0,3.0,2.0,1.0,55.0,80.0
Cimanggis,147,2500000000.0,4.0,3.0,4.0,221.0,175.0
Pancoran Mas,147,659000000.0,2.0,2.0,2.0,78.0,54.0
Cinere,147,2100000000.0,3.0,2.0,1.0,240.0,200.0
Kelapa Dua,147,1600000000.0,3.0,2.0,1.0,92.0,96.0
Depok I,147,575000000.0,2.0,3.0,1.0,58.0,87.0
Cinere,147,750000000.0,2.0,1.0,1.0,75.0,60.0
Sawangan,148,730000000.0,3.0,2.0,1.0,63.0,72.0
Cinere,148,2500000000.0,3.0,3.0,1.0,230.0,240.0
Cinere,148,3950000000.0,3.0,2.0,1.0,436.0,238.0
Tapos,148,3000000000.0,3.0,3.0,1.0,128.0,170.0
Pancoran Mas,148,1500000000.0,2.0,1.0,3.0,181.0,156.0
Tanah Baru,148,1000000000.0,2.0,1.0,1.0,98.0,70.0
Cimanggis,148,2700000000.0,3.0,2.0,,124.0,160.0
Citayam,148,185000000.0,2.0,1.0,1.0,42.0,33.0
Cinere,148,2750000000.0,3.0,2.0,1.0,244.0,125.0
Cinere,148,5500000000.0,4.0,3.0,5.0,720.0,462.0
Sawangan,148,755000000.0,3.0,2.0,2.0,64.0,64.0
Harjamukti,148,2080000000.0,6.0,4.0,2.0,413.0,600.0
Citayam,148,185000000.0,2.0,1.0,1.0,42.0,33.0
Cinere,148,2850000000.0,5.0,2.0,1.0,240.0,220.0
Citayam,149,185000000.0,2.0,1.0,1.0,42.0,33.0
Beji,149,4330000000.0,6.0,4.0,4.0,628.0,1000.0
Tirtajaya,149,725000000.0,3.0,2.0,1.0,61.0,85.0
Sawangan,149,550000000.0,2.0,1.0,1.0,72.0,45.0
Cimanggis,149,2500000000.0,3.0,2.0,1.0,161.0,120.0
Cimanggis,149,800000000.0,3.0,2.0,2.0,80.0,70.0
Cimanggis,149,500000000.0,2.0,1.0,2.0,75.0,36.0
Cilodong,149,323000000.0,2.0,1.0,1.0,48.0,45.0
Cilangkap,149,2300000000.0,3.0,2.0,,60.0,85.0
Pangkalan Jati,149,4750000000.0,4.0,3.0,2.0,204.0,200.0
Depok II,149,1100000000.0,3.0,2.0,,60.0,60.0
Depok II,149,1100000000.0,3.0,2.0,,60.0,60.0
